time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768284000,3.14307,3.148095,3.14307,3.147125,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.1659506525928665
1768287600,3.147125,3.147565,3.141965,3.14201,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.1657124371441814
1768291200,3.14201,3.142135,3.134465,3.139995,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.1654565422472243
1768294800,3.139995,3.144715,3.138505,3.13974,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.1652006562547146
1768298400,3.13974,3.14856,3.13961,3.148005,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.165029555197454
1768302000,3.148005,3.150525,3.146255,3.147855,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.164858664100962
1768305600,3.147855,3.151735,3.147275,3.15058,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.164716587841251
1768309200,3.15058,3.15233,3.13995,3.1457,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.1645273680617363
1768312800,3.1457,3.15212,3.144695,3.1518,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.16440072758351
1768316400,3.1518,3.15493,3.14538,3.1454,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.164211665617505
1768320000,3.1454,3.146885,3.141685,3.143785,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.1640084152133507
1768323600,3.143785,3.14734,3.14352,3.146925,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.163838430982372
1768327200,3.146925,3.15045,3.146105,3.14886,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.1636893918681195
1768330800,3.14886,3.15003,3.147485,3.1491,3.164645,3.13993,3.1522875,3.1451201500000003,0,0,0,3.1635442237898297
1768334400,3.1491,3.15071,3.148055,3.149305,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.1634025399710253
1768338000,3.149305,3.152835,3.148735,3.15261,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.1632951515136023
1768341600,3.15261,3.152895,3.1461,3.147605,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.1631390306030194
1768345200,3.147605,3.152135,3.14642,3.150085,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.163009139751248
1768348800,3.150085,3.152055,3.143965,3.144015,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.162820143335813
1768352400,3.144015,3.14756,3.143915,3.14613,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.1626540722578445
1768356000,3.14613,3.14789,3.1439,3.145705,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.162485424772692
1768359600,3.145705,3.146755,3.14447,3.14547,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.162316117063511
1768363200,3.14547,3.14654,3.1453,3.145875,3.15493,3.112925,3.1339275,3.12174605,0,0,0,3.162152523858899
