time,open,high,low,close,EQ,BUY Strong,BUY Medium,BUY Weak,EMA 200
1767978000,25910,25936,25885.25,25923,25631.625,0,0,0,25689.522917387447
1767981600,25923.25,25968.25,25882,25961.25,25631.625,0,0,0,25692.226669453245
1767985200,25962.25,25972.75,25948,25954.5,25631.625,0,0,0,25694.836354334308
1767988800,25954.25,25986,25930.75,25933,25631.625,0,0,0,25697.20614185337
1767992400,25932.75,25943.5,25923.5,25931.5,25631.625,0,0,0,25699.537424023983
1768172400,25946.5,25955.75,25870.25,25894,25631.625,0,0,0,25701.47237502872
1768176000,25893.5,25902.5,25772.75,25788.5,25631.625,0,0,0,25702.338321545845
1768179600,25789,25797.5,25723.5,25778,25631.625,0,0,0,25703.091174067777
1768183200,25777.75,25778.5,25731,25747.75,25631.625,0,0,0,25703.535540494962
1768186800,25747.75,25753.5,25710,25737.75,25631.625,0,0,0,25703.875982878097
1768190400,25738,25740.25,25715,25726.5,25631.625,0,0,0,25704.101097476323
1768194000,25727,25743,25677.25,25699,25631.625,0,0,0,25704.050340287504
1768197600,25699,25726,25696.5,25717.5,25631.625,0,0,0,25704.18416774733
1768201200,25717.5,25746.5,25715.5,25731.5,25631.625,0,0,0,25704.455967073227
1768204800,25731.75,25750,25632.75,25660,25631.625,0,0,0,25704.01361914215
1768208400,25659.75,25706.75,25659.5,25698,25631.625,0,0,0,25703.953782135763
1768212000,25698.25,25723.25,25686.5,25708,25631.625,0,0,0,25703.994043010032
1768215600,25707.75,25733,25705.5,25719,25631.625,0,0,0,25704.14335601491
1768219200,25718.25,25761.75,25713.25,25753.5,25631.625,0,0,0,25704.634466900334
1768222800,25753,25762.75,25727.5,25743.5,25631.625,0,0,0,25705.02118862272
1768226400,25743.75,25924.75,25719.75,25901,25631.625,0,0,0,25706.97122654687
1768230000,25901.25,25933.25,25863.5,25916,25631.625,0,0,0,25709.051114839935
1768233600,25915.5,25969.5,25901.25,25960.5,25631.625,0,0,0,25711.553093796752
1768237200,25960.75,25977,25938.5,25968.25,25631.625,0,0,0,25714.107291868426
1768240800,25968.25,25997.25,25965,25978.5,25631.625,0,0,0,25716.738065083664
1768244400,25978.75,26018.5,25962,26014.75,25631.625,0,0,0,25719.703357968403
1768248000,26015,26020.5,25950.5,25952,25631.625,0,0,0,25722.01476734185
1768251600,25952,25974.25,25932.75,25942.25,25631.625,0,0,0,25724.206162691684
1768258800,25948,25954,25893.5,25895.75,25631.625,0,0,0,25725.913066545498
1768262400,25896,25899.75,25871.5,25875.5,25631.625,0,0,0,25727.40149374405
1768266000,25875,25891,25846,25879.25,25631.625,0,0,0,25728.912424154558
1768269600,25879.25,25897.25,25874,25878.25,25631.625,0,0,0,25730.39837018287
1768273200,25878.25,25892.75,25861.25,25883,25631.625,0,0,0,25731.916794360153
1768276800,25883.5,25891.75,25869,25885,25631.625,0,0,0,25733.440010336668
1768280400,25886,25907.5,25877.5,25901.75,25631.625,0,0,0,25735.114736601976
1768284000,25901.75,25932.75,25900.5,25915.75,25631.625,0,0,0,25736.91210240693
1768287600,25916,25925.75,25906.75,25917.25,25631.625,0,0,0,25738.706509348158
1768291200,25916.75,25926.5,25895.25,25906.25,25631.625,0,0,0,25740.37360875763
1768294800,25906.25,25937.25,25887.5,25910,25631.625,0,0,0,25742.06143354611
1768298400,25909.5,25914.5,25867.25,25878.5,25631.625,0,0,0,25743.419031222267
1768302000,25878.5,25901.25,25870.75,25900.75,25631.625,0,0,0,25744.98451349866
1768305600,25900.5,25919.25,25888.25,25895.25,25631.625,0,0,0,25746.479692468823
1768309200,25895,26046.25,25886.5,25971,25631.625,0,0,0,25748.71372537958
1768312800,25970.75,26043,25930.75,25947,25631.625,0,0,0,25750.686723136998
1768316400,25946.25,25971.25,25806,25894.5,25631.625,0,0,0,25752.117701016232
1768320000,25894.5,26026,25847.25,26008.75,25631.625,0,0,0,25754.67125623
1768323600,26008.5,26018,25857.25,25876.75,25631.625,0,0,0,25755.88597009836
1768327200,25876.25,25911.25,25833.75,25840,25631.625,0,0,0,25756.722925619768
1768330800,25840.25,25885.5,25821.5,25866.25,25631.625,0,0,0,25757.812747255393
1768334400,25866.25,25912.25,25803.25,25904,25631.625,0,0,0,25759.26734678519
1768338000,25904.25,25926.75,25895.75,25898.25,25631.625,0,0,0,25760.650258757476
1768345200,25900,25914,25886.25,25891,25631.625,0,0,0,25761.947271108147
1768348800,25891.25,25924.75,25883.25,25907,25631.625,0,0,0,25763.39058184339
1768352400,25906.5,25924.5,25878.75,25886,25631.625,0,0,0,25764.610576053903
1768356000,25885.5,25897.25,25873,25893.75,25631.625,0,0,0,25765.8955454464
1768359600,25893.5,25926,25889.5,25915,25631.625,0,0,0,25767.37917185987
1768363200,25915.5,25919,25873.25,25881.75,25631.625,0,0,0,25768.51719005032
1768366800,25882,25883.5,25852.5,25855.75,25631.625,0,0,0,25769.385178209024
1768370400,25856.25,25863.75,25835.5,25859.75,25655.75,0,0,0,25770.284330664657
1768374000,25860.75,25871.75,25848.5,25862.5,25655.75,0,0,0,25771.201899513766
1768377600,25862.25,25876,25840.25,25857.75,25655.75,0,0,0,25772.06307464298
1768381200,25858.25,25878.75,25836,25851.75,25655.75,0,0,0,25772.855979372904
1768384800,25852.25,25852.75,25711.5,25737,25655.75,0,0,0,25772.499203458745
1768388400,25737.5,25769,25714.25,25743,25655.75,0,0,0,25772.20567904622
1768392000,25743,25785.5,25701,25779.5,25655.75,0,0,0,25772.278259354218
1768395600,25778,25807.75,25732.5,25754.25,25655.75,0,0,0,25772.098873689003
